step,body,x,y,z
36,3,7.814274098116071e-01,6.024467415696975e-01,2.808670827733722e-04
36,4,7.819815642929930e-01,6.023119920542077e-01,-1.450981948948597e-03
36,5,1.276684103434264e+00,5.495970531981690e-01,1.774644135287213e-02
36,6,4.941810881781201e+00,3.143167692189255e-01,6.663505700360302e-03
36,7,9.072217105967326e+00,2.166650857228398e-01,5.537200250600476e-09
36,8,1.826633574284006e+01,1.523613438333066e-01,1.113981737172316e-10
36,9,2.988689597065919e+01,1.168897135999356e-01,1.161437335662610e-11
37,0,1.082547515806204e-05,-3.117629645506914e-04,-6.633822890284469e-06
37,1,-4.434448782689593e-01,1.350512452504903e-01,1.661095430544205e-02
37,2,3.434690052010833e-01,6.330228245350064e-01,3.749768633000177e-02
